name,link,price,code
Polar P24L23T2C,https://tradebox.shop/Polar_P24L23T2C.html,"
                                                    10 756 руб.                                                
                        
                    ",Код товара: 110811
Samsung UE-43T5202,https://tradebox.shop/Samsung_UE-43T5202.html,"
                                                    34 638 руб.                                                
                        
                    ",Код товара: 133619
Polar P24L51T2CSM,https://tradebox.shop/Polar_P24L51T2CSM.html,"
                                                    12 955 руб.                                                
                        
                    ",Код товара: 110697
Asano 43LF8120T,https://tradebox.shop/Asano_43LF8120T.html,"
                                                    21 046 руб.                                                
                        
                    ",Код товара: 178022
Xiaomi L50MA-ARU,https://tradebox.shop/Xiaomi_L50MA-ARU.html,"
                                                    38 654 руб.                                                
                        
                    ",Код товара: 178012
Xiaomi L65MA-ARU,https://tradebox.shop/Xiaomi_L65MA-ARU.html,"
                                                    60 599 руб.                                                
                        
                    ",Код товара: 178011
LG OLED48C4RLA,https://tradebox.shop/LG_OLED48C4RLA.html,"
                                                    147 829 руб.                                                
                        
                    ",Код товара: 177971
LG 75UT80006LA,https://tradebox.shop/LG_75UT80006LA.html,"
                                                    119 317 руб.                                                
                        
                    ",Код товара: 177970
LG 55QNED86T6A,https://tradebox.shop/LG_55QNED86T6A.html,"
                                                    105 589 руб.                                                
                        
                    ",Код товара: 177969
LG 65UT91006LA,https://tradebox.shop/LG_65UT91006LA.html,"
                                                    104 533 руб.                                                
                        
                    ",Код товара: 177968
LG 65NANO80T6A,https://tradebox.shop/LG_65NANO80T6A.html,"
                                                    88 693 руб.                                                
                        
                    ",Код товара: 177967
LG 65UT81006LA,https://tradebox.shop/LG_65UT81006LA.html,"
                                                    84 635 руб.                                                
                        
                    ",Код товара: 177966
LG 50UT91006LA,https://tradebox.shop/LG_50UT91006LA.html,"
                                                    73 909 руб.                                                
                        
                    ",Код товара: 177965
LG 55UT80006LA,https://tradebox.shop/LG_55UT80006LA.html,"
                                                    71 797 руб.                                                
                        
                    ",Код товара: 177964
LG 43UT91006LA,https://tradebox.shop/LG_43UT91006LA.html,"
                                                    61 237 руб.                                                
                        
                    ",Код товара: 177963
LG 50NANO80T6A,https://tradebox.shop/LG_50NANO80T6A.html,"
                                                    61 026 руб.                                                
                        
                    ",Код товара: 177962
Starwind SW-LED65UG402,https://tradebox.shop/Starwind_SW-LED65UG402.html,"
                                                    41 789 руб.                                                
                        
                    ",Код товара: 177889
